rank,brand,brand_ar,name_en,name_ar,rating,longevity,projection,year,price_ref,keyword_ar,keyword_en
1,Amado,امادو,Veneno,فينينو,5,5,3.8,2023,270,عطر فينينو,Veneno
2,Louis Vuitton,لويس فيتون,Pur Ambre,بور عنبر,4.63,4.8,4.6,2024,3100,عطر بور عنبر,Pur Ambre
3,Amado,امادو,Nuit de Reve,أمادو نوي ريف,4.88,4.2,4.1,2020,600,عطر أمادو نوي ريف,Nuit de Reve
4,Amado,امادو,Sublime,سوبليم,4.67,4,4.7,2017,17,عطر سوبليم,Sublime
5,Amado,امادو,Cuir Sublime,كيور سوبليم أمادو,5,4,3.8,2023,650,عطر كيور سوبليم أمادو,Cuir Sublime
6,Amado,امادو,Opulent,اوبيلنت,5,4,3.8,2017,320,عطر اوبيلنت,Opulent
7,Ramon Monegal,رامون مونيجال,Alhambra Oud,مونيغال الحمراء عود,4.63,4.5,4,2019,1050,عطر مونيغال الحمراء عود,Alhambra Oud
8,Unique'e Luxury,يونيك لاكجري,Woud And Mood Absolute,لكجري وود اند مود ابسلوتي,4.52,4.5,4.2,2024,1200,عطر لكجري وود اند مود ابسلوتي,Woud And Mood Absolute
9,Louis Vuitton,لويس فيتون,Stellar Times,ستيلار تايمز,4.44,4.5,4.3,2021,500,عطر ستيلار تايمز,Stellar Times
10,Louis Vuitton,لويس فيتون,RHAPSODY,رابسودي,4.14,4.7,4.5,2021,35,عطر رابسودي,RHAPSODY
11,Unique'e Luxury,يونيك لاكجري,Kutay,لكجري كوتاي,4.24,4.6,4.4,2019,240,عطر لكجري كوتاي,Kutay
12,Unique'e Luxury,يونيك لاكجري,Crush On Me,كراش اون مي لكجري,4.25,4.6,4.3,2021,900,عطر كراش اون مي لكجري,Crush On Me
13,Giorgio Armani,ارماني,You Intensely,يو انتنسلي,4.58,4.2,4,2018,12,عطر يو انتنسلي,You Intensely
14,Zegna,زينيا,Indonesian Oud Ermenegildo,اندونيسيان عود,4.58,4.3,3.9,2019,290,عطر اندونيسيان عود,Indonesian Oud Ermenegildo
15,Louis Vuitton,لويس فيتون,Ombre Nomade,عنبر نوماد,4.26,4.5,4.3,2018,440,عطر عنبر نوماد,Ombre Nomade
16,Nishane,نيشاني,Mana,مانا,4.21,4.6,4.3,2022,900,عطر مانا,Mana
17,Tory Burch,توري بورش,Daring Rose,ديرينج روز ليذر,4.75,4,3.8,2024,550,عطر ديرينج روز ليذر,Daring Rose
18,Provenzano,بروفينزانو,Inspirato Christian,كريستيان بروفنزانو انسبيراتو دى,4.53,4.4,3.8,2023,800,عطر كريستيان بروفنزانو انسبيراتو دى,Inspirato Christian
19,Montale,مونتال,Arabians Tonka,ارابيانز تونكا,4.22,4.5,4.3,2019,370,عطر ارابيانز تونكا,Arabians Tonka
20,FREDERIC MALLE,فريدريك مال,The Moon,القمر,4.25,4.5,4.2,2019,750,عطر القمر,The Moon
21,Roja Parfums,روجا بارفيومز,Enigma Pour Homme Dove,انجما الرجالي,4.58,4.3,3.7,2013,1800,عطر انجما الرجالي,Enigma Pour Homme Dove
22,Roja Parfums,روجا بارفيومز,Enigma Pour Homme Parfum,انيجما بور هوم,4.58,4.3,3.7,2013,17,عطر انيجما بور هوم,Enigma Pour Homme Parfum
23,XERJOFF,زيرجوف,Alexandria II Anniversary,الكسندريا انيفيرسري,4.28,4.5,4.1,2024,1350,عطر الكسندريا انيفيرسري,Alexandria II Anniversary
24,Boadicea,بوديسيا ذا فيكتوريوس,Alkout,الكوت,4.22,4.6,4.1,2020,1850,عطر الكوت,Alkout
25,Bois,بويس,D’AKSUM,اوشال بوا داكسوم,4.67,4,3.8,2024,260,عطر اوشال بوا داكسوم,D’AKSUM
26,Louis Vuitton,لويس فيتون,Sables Roses,لي سابيلس روزيس,4.42,4.3,4,2019,1300,عطر لي سابيلس روزيس,Sables Roses
27,Unique'e Luxury,يونيك لاكجري,Beverly Hills Exclusive,بيفرلي هيلز اكسليوسف لكجري,4.42,4.4,3.9,2021,900,عطر بيفرلي هيلز اكسليوسف لكجري,Beverly Hills Exclusive
28,Unique'e Luxury,يونيك لاكجري,Akdeniz,اكدنيز لكجري,4.1,4.5,4.4,2019,240,عطر اكدنيز لكجري,Akdeniz
29,Montale,مونتال,Arabians,ارابيانز,3.89,4.7,4.6,2019,360,عطر ارابيانز,Arabians
30,Montale,مونتال,Black Aoud,بلاك عود,3.93,4.6,4.6,2006,350,عطر بلاك عود,Black Aoud
31,Nilafar du Nil,نيلافار دو نيل,Catamaran,كاتاماران,4.38,4.5,3.8,2024,11,عطر كاتاماران,Catamaran
32,Louis Vuitton,لويس فيتون,Fleur du Desert,فلور ديزرت,4.36,4.3,4,2022,1180,عطر فلور ديزرت,Fleur du Desert
33,AMOUAGE,امواج,Interlude,انترلود النسائي,3.9,4.6,4.6,2012,730,عطر انترلود النسائي,Interlude
34,Amado,امادو,Immortal Oud,امورتال عود من أمادو,4.6,4,3.8,2014,17,عطر امورتال عود من أمادو,Immortal Oud
35,Dior,كريستيان ديور,Sauvage Elixir,سوفاج إلكسير,4.3,4.5,3.9,2021,15,عطر سوفاج إلكسير,Sauvage Elixir
36,FREDERIC MALLE,فريدريك مال,Promise,الوعد من,4.2,4.5,4.1,2017,370,عطر الوعد من,Promise
37,Kilian,كيليان,Musk Oud BY,باي مسك عود,4.35,4.3,4,2013,20,عطر باي مسك عود,Musk Oud BY
38,Nilafar du Nil,نيلافار دو نيل,Merit,ميرت ادو,4.2,4.5,4.1,2022,11,عطر ميرت ادو,Merit
39,Unique'e Luxury,يونيك لاكجري,Zen’gi,لكجري زينجي اكسترايت,4.25,4.5,4,2023,320,عطر لكجري زينجي اكسترايت,Zen’gi
40,BVLGARI,بولغاري,Falkar,جيمي فالكار,4.39,4.4,3.8,2019,375,عطر جيمي فالكار,Falkar
41,Maison Crivelli,مايزون كريفيلي,Oud Maracuja,كريفيل عود ماراكوجا,4.19,4.5,4.1,2023,1100,عطر كريفيل عود ماراكوجا,Oud Maracuja
42,Mancera,مانسيرا,Black To Black,بلاك تو,4.04,4.5,4.4,,350,عطر بلاك تو,Black To Black
